depth,curve,curveName,UWI
421.750,67.665,GR,00/01-01-073-05W5/0
422.000,70.483,GR,00/01-01-073-05W5/0
422.250,69.460,GR,00/01-01-073-05W5/0
422.500,69.369,GR,00/01-01-073-05W5/0
422.750,69.588,GR,00/01-01-073-05W5/0
423.000,70.859,GR,00/01-01-073-05W5/0
423.250,69.526,GR,00/01-01-073-05W5/0
423.500,67.323,GR,00/01-01-073-05W5/0
423.750,66.242,GR,00/01-01-073-05W5/0
424.000,66.144,GR,00/01-01-073-05W5/0
424.250,66.113,GR,00/01-01-073-05W5/0
424.500,70.300,GR,00/01-01-073-05W5/0
424.750,73.989,GR,00/01-01-073-05W5/0
425.000,74.826,GR,00/01-01-073-05W5/0
425.250,74.362,GR,00/01-01-073-05W5/0
425.500,72.285,GR,00/01-01-073-05W5/0
425.750,63.882,GR,00/01-01-073-05W5/0
426.000,56.969,GR,00/01-01-073-05W5/0
426.250,55.950,GR,00/01-01-073-05W5/0
426.500,55.295,GR,00/01-01-073-05W5/0
426.750,54.147,GR,00/01-01-073-05W5/0
427.000,54.552,GR,00/01-01-073-05W5/0
427.250,55.701,GR,00/01-01-073-05W5/0
427.500,56.475,GR,00/01-01-073-05W5/0
427.750,58.368,GR,00/01-01-073-05W5/0
428.000,58.833,GR,00/01-01-073-05W5/0
428.250,58.868,GR,00/01-01-073-05W5/0
428.500,59.949,GR,00/01-01-073-05W5/0
428.750,58.801,GR,00/01-01-073-05W5/0
429.000,58.274,GR,00/01-01-073-05W5/0
429.250,58.805,GR,00/01-01-073-05W5/0
429.500,59.578,GR,00/01-01-073-05W5/0
429.750,60.726,GR,00/01-01-073-05W5/0
430.000,60.631,GR,00/01-01-073-05W5/0
430.250,60.105,GR,00/01-01-073-05W5/0
430.500,58.279,GR,00/01-01-073-05W5/0
430.750,53.906,GR,00/01-01-073-05W5/0
431.000,49.970,GR,00/01-01-073-05W5/0
431.250,50.808,GR,00/01-01-073-05W5/0
431.500,54.808,GR,00/01-01-073-05W5/0
431.750,57.193,GR,00/01-01-073-05W5/0
432.000,59.767,GR,00/01-01-073-05W5/0
432.250,62.032,GR,00/01-01-073-05W5/0
432.500,61.815,GR,00/01-01-073-05W5/0
432.750,58.624,GR,00/01-01-073-05W5/0
433.000,57.663,GR,00/01-01-073-05W5/0
433.250,58.375,GR,00/01-01-073-05W5/0
433.500,60.763,GR,00/01-01-073-05W5/0
433.750,63.087,GR,00/01-01-073-05W5/0
434.000,65.102,GR,00/01-01-073-05W5/0
434.250,69.601,GR,00/01-01-073-05W5/0
434.500,73.292,GR,00/01-01-073-05W5/0
434.750,75.055,GR,00/01-01-073-05W5/0
435.000,74.779,GR,00/01-01-073-05W5/0
435.250,74.561,GR,00/01-01-073-05W5/0
435.500,75.708,GR,00/01-01-073-05W5/0
435.750,77.722,GR,00/01-01-073-05W5/0
436.000,80.049,GR,00/01-01-073-05W5/0
436.250,76.175,GR,00/01-01-073-05W5/0
436.500,67.153,GR,00/01-01-073-05W5/0
436.750,60.052,GR,00/01-01-073-05W5/0
437.000,52.393,GR,00/01-01-073-05W5/0
437.250,45.416,GR,00/01-01-073-05W5/0
437.500,43.775,GR,00/01-01-073-05W5/0
437.750,43.805,GR,00/01-01-073-05W5/0
438.000,44.217,GR,00/01-01-073-05W5/0
438.250,45.667,GR,00/01-01-073-05W5/0
438.500,47.372,GR,00/01-01-073-05W5/0
438.750,48.770,GR,00/01-01-073-05W5/0
439.000,49.914,GR,00/01-01-073-05W5/0
439.250,51.807,GR,00/01-01-073-05W5/0
439.500,55.561,GR,00/01-01-073-05W5/0
439.750,60.552,GR,00/01-01-073-05W5/0
440.000,63.123,GR,00/01-01-073-05W5/0
440.250,54.538,GR,00/01-01-073-05W5/0
440.500,48.800,GR,00/01-01-073-05W5/0
440.750,44.122,GR,00/01-01-073-05W5/0
441.000,42.289,GR,00/01-01-073-05W5/0
441.250,49.390,GR,00/01-01-073-05W5/0
441.500,50.107,GR,00/01-01-073-05W5/0
441.750,48.092,GR,00/01-01-073-05W5/0
442.000,46.638,GR,00/01-01-073-05W5/0
442.250,45.550,GR,00/01-01-073-05W5/0
442.500,41.860,GR,00/01-01-073-05W5/0
442.750,42.947,GR,00/01-01-073-05W5/0
443.000,45.082,GR,00/01-01-073-05W5/0
443.250,48.958,GR,00/01-01-073-05W5/0
443.500,49.672,GR,00/01-01-073-05W5/0
443.750,43.878,GR,00/01-01-073-05W5/0
444.000,43.781,GR,00/01-01-073-05W5/0
444.250,46.917,GR,00/01-01-073-05W5/0
444.500,47.942,GR,00/01-01-073-05W5/0
444.750,44.433,GR,00/01-01-073-05W5/0
445.000,44.157,GR,00/01-01-073-05W5/0
445.250,47.286,GR,00/01-01-073-05W5/0
