name,tournaments,played,won,wonLostPct
Andreas Ektvedt,1,4,3,75
Christin Vik Eliassen,5,12,5,42
Marie J Eliassen,1,2,0,0
Elisabeth Tangerås Ellefsen,1,4,0,0
Sanner Ellingsen,2,7,5,71
Helene Elsheim,1,5,2,40
Markus Elsheim,1,4,0,0
Olav Eltervåg,22,61,39,64
Dina Kristina Endresen,1,4,0,0
Vegard Norheim Endresen,2,6,2,33
Max Engebrethsen,2,6,5,83
Sara Helena Engelsvold,1,2,1,50
Hedvig Engen,4,8,3,38
Tore Engevik,1,1,0,0
Joakim Aga Eriksen,1,3,2,67
Simon Marnburg Eriksen,5,10,4,40
Åsa Eriksen,1,3,1,33
Jostein Erikstad,2,9,4,44
Henrik Ertvaag,1,3,0,0
William Ertvaag,1,1,0,0
Andrea Røyrvik Eskedal,10,26,15,58
Morten Espeland,3,5,2,40
Stian Espeland,1,2,0,0
Viktor Espeland,1,2,1,50
Anna Evjeberg,1,2,0,0
Mari Thingbø Evjeberg,1,4,1,25
Victor Fagnon,2,8,7,88
Ada Fait,3,6,3,50
Behnaz Faramarzi,5,15,7,47
Bjørn Fardal,1,2,0,0
Mehdi Farhaoui,2,4,2,50
Elise Dahlin Farstad,5,10,1,10
Linda Farstad,7,14,4,29
Torunn Larsson Fedde,1,2,1,50
Christianne Fenes,1,2,1,50
Luka Fieten,1,2,2,100
Snorre Fiksdal,3,7,2,29
Espen Finnestad,1,2,0,0
Charlotte Fischer,3,6,3,50
Joakim Fischer,5,9,2,22
Martin Fischer,4,7,1,14
Arttu Emil Fiva,1,2,1,50
Leif Fjelde,1,4,3,75
Christoffer Fjellheim,1,2,1,50
Maria Fjermestad,1,2,0,0
Aleksejs Fjodorovs,5,13,9,69
Magnus Fjogstad,7,10,2,20
Teodor Fjordholm,4,9,5,56
Jesper Flatheim,1,3,0,0
Eivind Fodstad,1,7,4,57
Franck Christopher Andrea Fog,1,2,1,50
Oddstein Follesø,1,2,0,0
Vinjar Frøyland Foss,1,2,1,50
Erik Østbø Frafjord,15,39,20,51
Lars Østbø Frafjord,3,6,3,50
Tom Koll Frafjord,1,2,1,50
Henrik Franck,1,1,0,0
Amelia Frank,2,4,1,25
Søren Frank,1,2,1,50
Thor Fransplass,1,4,2,50
Even Fredriksen,1,2,0,0
Emma Fredriksson,4,11,2,18
Mats Fredriksson,1,5,5,100
Laila Frette,4,9,3,33
